pdf,xlsx,jalali_date,records,engine
Supplements20250714.pdf,Supplements20250714.xlsx,23 تیر 1404,9,pdfplumber
Supplements20250715.pdf,Supplements20250715.xlsx,24 تیر 1404,10,pdfplumber
Supplements20250716.pdf,Supplements20250716.xlsx,25 تیر 1404,9,pdfplumber
Supplements20250720.pdf,Supplements20250720.xlsx,29 تیر 1404,21,pdfplumber
Supplements20250721.pdf,Supplements20250721.xlsx,30 تیر 1404,16,pdfplumber
Supplements20250722.pdf,Supplements20250722.xlsx,31 تیر 1404,8,pdfplumber
Supplements20250726.pdf,Supplements20250726.xlsx,4 مرداد 1404,29,pdfplumber
Supplements20250727.pdf,Supplements20250727.xlsx,5 مرداد 1404,10,pdfplumber
Supplements20250728.pdf,Supplements20250728.xlsx,6 مرداد 1404,17,pdfplumber
Supplements20250730.pdf,Supplements20250730.xlsx,8 مرداد 1404,36,pdfplumber
Supplements20250802.pdf,Supplements20250802.xlsx,11 مرداد 1404,21,pdfplumber
Supplements20250803.pdf,Supplements20250803.xlsx,12 مرداد 1404,8,pdfplumber
Supplements20250804.pdf,Supplements20250804.xlsx,13 مرداد 1404,14,pdfplumber
Supplements20250806.pdf,Supplements20250806.xlsx,15 مرداد 1404,12,pdfplumber
Supplements20250809.pdf,Supplements20250809.xlsx,18 مرداد 1404,17,pdfplumber
Supplements20250810.pdf,Supplements20250810.xlsx,19 مرداد 1404,13,pdfplumber
Supplements20250811.pdf,Supplements20250811.xlsx,20 مرداد 1404,11,pdfplumber
Supplements20250812.pdf,Supplements20250812.xlsx,21 مرداد 1404,18,pdfplumber
Supplements20250816.pdf,Supplements20250816.xlsx,25 مرداد 1404,27,pdfplumber
Supplements20250818.pdf,Supplements20250818.xlsx,27 مرداد 1404,9,pdfplumber
Supplements20250819.pdf,Supplements20250819.xlsx,28 مرداد 1404,12,pdfplumber
Supplements20250823.pdf,Supplements20250823.xlsx,1 شهریور 1404,14,pdfplumber
Supplements20250825.pdf,Supplements20250825.xlsx,3 شهریور 1404,19,pdfplumber
Supplements20250827.pdf,Supplements20250827.xlsx,5 شهریور 1404,20,pdfplumber
Supplements20250828.pdf,Supplements20250828.xlsx,6 شهریور 1404,12,pdfplumber
Supplements20250831.pdf,Supplements20250831.xlsx,9 شهریور 1404,18,pdfplumber
Supplements20250904.pdf,Supplements20250904.xlsx,13 شهریور 1404,39,pdfplumber
Supplements20250907.pdf,Supplements20250907.xlsx,16 شهریور 1404,18,pdfplumber
Supplements20250911.pdf,Supplements20250911.xlsx,20 شهریور 1404,15,pdfplumber
Supplements20250915.pdf,Supplements20250915.xlsx,24 شهریور 1404,27,pdfplumber
